gene,direction,meta_scope_used,rho_threshold,k_datasets,n_scope_datasets,k_concordant,direction_concordant,fisher_padj,stouffer_padj,mean_abs_rrb,r_rb,correlation_p_value,correlation_padj,directional_correlation_strength,passes_fisher,passes_stouffer,passes_k_mode,passes_effect_floor,passes_correlation_threshold,selected_for_analysis
STRAP,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,3.22621630824335e-5,5.13162859375334e-5,0.61,-0.61,3.01447363730283e-7,5.13162859375334e-5,0.61,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EIF3E,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,3.87029563299989e-5,1.4012178055117e-4,0.6,-0.6,1.71847466713706e-6,1.4012178055117e-4,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
GDI2,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,3.89449365881537e-5,5.6958957757715e-4,0.572,-0.572,1.50457624265663e-5,5.6958957757715e-4,0.572,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
METTL5,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,4.26243315374861e-5,5.13162859375334e-5,0.581,-0.581,1.33983088165196e-7,5.13162859375334e-5,0.581,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CDK8,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,4.47176389488255e-5,6.7815452844955e-4,0.567,-0.567,1.94063088329905e-5,6.7815452844955e-4,0.567,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PTGES2,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,4.8808087038516e-5,5.13162859375334e-5,0.565,-0.565,1.46317093339953e-7,5.13162859375334e-5,0.565,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LDHA,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,4.8808087038516e-5,5.13162859375334e-5,0.589,-0.589,2.52369197863153e-7,5.13162859375334e-5,0.589,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ELP2,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,4.8808087038516e-5,0.00146478816479489,0.543,-0.543,6.72512805220296e-5,0.00146478816479489,0.543,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MALSU1,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,4.90533966934752e-5,5.7045513823918e-4,0.53,-0.53,1.52480147013618e-5,5.7045513823918e-4,0.53,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
TBC1D7,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,4.90533966934752e-5,5.13162859375334e-5,0.572,-0.572,1.81608676607866e-7,5.13162859375334e-5,0.572,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TMEM147,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,5.03501644690193e-5,8.39205549959961e-5,0.596,-0.596,7.38923125750909e-7,8.39205549959961e-5,0.596,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
GTF2F2,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,5.40559745336284e-5,9.69126911633449e-5,0.594,-0.594,9.66403741141949e-7,9.69126911633449e-5,0.594,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
YWHAZ,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,5.50814570285628e-5,1.3399160863743e-4,0.592,-0.592,1.47475040953149e-6,1.3399160863743e-4,0.592,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AURKAIP1,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,5.50814570285628e-5,0.00153548347650395,0.594,-0.594,7.14627529945232e-5,0.00153548347650395,0.594,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
DCAF13,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,5.92827010371261e-5,5.13162859375334e-5,0.564,-0.564,2.5064872120889e-7,5.13162859375334e-5,0.564,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
APEH,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,6.18551913340651e-5,1.1167016351686e-4,0.589,-0.589,1.19395772313631e-6,1.1167016351686e-4,0.589,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TBCB,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,6.35991918810916e-5,5.13162859375334e-5,0.567,-0.567,3.14289108446475e-7,5.13162859375334e-5,0.567,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
SMS,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,6.35991918810916e-5,2.6986843840182e-4,0.581,-0.581,4.66753588430828e-6,2.6986843840182e-4,0.581,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NARS2,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,6.35991918810916e-5,5.8754321678287e-4,0.565,-0.565,1.62120465628391e-5,5.8754321678287e-4,0.565,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ELK3,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,6.35991918810916e-5,0.99999999974885,0.726,-0.726,0.911376801654482,0.99999999974885,0.726,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
CHCHD3,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,6.35991918810916e-5,5.5366976972934e-4,0.568,-0.568,1.32323592765503e-5,5.5366976972934e-4,0.568,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
GLRX3,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,6.35991918810916e-5,5.13162859375334e-5,0.556,-0.556,3.09498415338107e-7,5.13162859375334e-5,0.556,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
YIF1A,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,6.37104243882189e-5,5.13162859375334e-5,0.546,-0.546,2.92628711524507e-7,5.13162859375334e-5,0.546,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TBCA,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,6.65898276471616e-5,7.09377283400739e-5,0.575,-0.575,5.35379081811879e-7,7.09377283400739e-5,0.575,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADK,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,7.66588499702477e-5,5.2844952623352e-4,0.567,-0.567,1.24634322224888e-5,5.2844952623352e-4,0.567,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ACY1,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,9.43011790226881e-5,6.64668604334665e-5,0.499,-0.499,4.80735154078531e-7,6.64668604334665e-5,0.499,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PPP1R14B,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.0133893378474e-4,7.99453692523817e-5,0.558,-0.558,6.78781437048524e-7,7.99453692523817e-5,0.558,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MRPL24,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.073239855978e-4,7.20910190351605e-5,0.537,-0.537,5.66753294301576e-7,7.20910190351605e-5,0.537,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CMSS1,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.0977513310953e-4,3.0607613092649e-4,0.57,-0.57,5.48627027132404e-6,3.0607613092649e-4,0.57,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ATP5F1A,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.1017733107038e-4,5.256884453485e-4,0.563,-0.563,1.18705217394612e-5,5.256884453485e-4,0.563,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MRPS12,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,1.2408134139806e-4,0.00156560386470899,0.542,-0.542,7.39813555952543e-5,0.00156560386470899,0.542,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
PPIA,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,1.2408134139806e-4,0.00606278851989962,0.637,-0.637,4.9188661576544e-4,0.00606278851989962,0.637,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
AIMP2,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,1.2867484679746e-4,0.00186282743262064,0.551,-0.551,9.31413716310318e-5,0.00186282743262064,0.551,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
TCEA1,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.3426889799988e-4,2.4235242538565e-4,0.567,-0.567,3.8867841807133e-6,2.4235242538565e-4,0.567,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
DDB1,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.3426889799988e-4,0.00130000731052645,0.54,-0.54,5.35537602764041e-5,0.00130000731052645,0.54,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PRMT3,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.3426889799988e-4,3.1284929839178e-4,0.565,-0.565,5.85864766945047e-6,3.1284929839178e-4,0.565,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
POLR2I,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.3426889799988e-4,9.68383821735655e-5,0.536,-0.536,9.11437027526623e-7,9.68383821735655e-5,0.536,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ATG7,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,1.3426889799988e-4,0.99999999974885,0.671,-0.671,0.780722015516127,0.99999999974885,0.671,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
PWP1,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.3426889799988e-4,0.00156560386470899,0.534,-0.534,7.43415671607098e-5,0.00156560386470899,0.534,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
SLIT2,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,1.3426889799988e-4,0.99999999974885,0.691,-0.691,0.856518139629157,0.99999999974885,0.691,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
YWHAQ,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.3426889799988e-4,3.3478723773693e-4,0.563,-0.563,6.42201934023681e-6,3.3478723773693e-4,0.563,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NME2,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.3426889799988e-4,9.68383821735655e-5,0.492,-0.492,9.13569643146845e-7,9.68383821735655e-5,0.492,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FMNL2,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,1.3436182268911e-4,0.99999999974885,0.706,-0.706,0.901014504731194,0.99999999974885,0.706,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
MRPL11,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,1.3725887776178e-4,0.00322683987495536,0.577,-0.577,1.9649643564576e-4,0.00322683987495536,0.577,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
RFTN1,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,1.3725887776178e-4,0.99999999974885,0.65,-0.65,0.699811162277208,0.99999999974885,0.65,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
E2F5,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.3725887776178e-4,1.4012178055117e-4,0.553,-0.553,1.63558499812185e-6,1.4012178055117e-4,0.553,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IMP4,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.377836946021e-4,9.69126911633449e-5,0.511,-0.511,9.75222049442464e-7,9.69126911633449e-5,0.511,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
SPRED1,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,1.5323992426802e-4,0.99999999974885,0.641,-0.641,0.671055691762275,0.99999999974885,0.641,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
NUDCD1,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.5908346364203e-4,2.4353791467447e-4,0.558,-0.558,4.13554949447216e-6,2.4353791467447e-4,0.558,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ZNF593,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,1.5908346364203e-4,0.00213418264734651,0.538,-0.538,1.1117245891195e-4,0.00213418264734651,0.538,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FUT8,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,1.6374216529192e-4,0.766667377630208,0.552,-0.552,0.271708847355109,0.766667377630208,0.552,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
PPA2,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.7580531522474e-4,5.601746693039e-4,0.552,-0.552,1.44807947963148e-5,5.601746693039e-4,0.552,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ANKRD39,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.7580531522474e-4,1.4012178055117e-4,0.535,-0.535,1.70730119579892e-6,1.4012178055117e-4,0.535,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MRPS35,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.8950355456562e-4,1.8189836605626e-4,0.544,-0.544,2.45963199384253e-6,1.8189836605626e-4,0.544,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
SINHCAF,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.9600776455494e-4,0.00129067232474194,0.535,-0.535,5.27633340303309e-5,0.00129067232474194,0.535,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PARD3,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.9600776455494e-4,0.00175236590117313,0.527,-0.527,8.65161781396799e-5,0.00175236590117313,0.527,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MRGBP,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.9600776455494e-4,1.4012178055117e-4,0.478,-0.478,1.70244379209081e-6,1.4012178055117e-4,0.478,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NPM3,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.0083111568373e-4,6.9200782555533e-4,0.546,-0.546,2.00203521858775e-5,6.9200782555533e-4,0.546,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NPM1,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.1103416487023e-4,1.6362985277344e-4,0.522,-0.522,2.05823714180439e-6,1.6362985277344e-4,0.522,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ACTG1,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.1103416487023e-4,9.5182251034145e-4,0.539,-0.539,3.44932662732206e-5,9.5182251034145e-4,0.539,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MAP4K4,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,2.1103416487023e-4,0.99999999974885,0.571,-0.571,0.375796377743934,0.99999999974885,0.571,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
DVL1,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.1103416487023e-4,1.7818505170867e-4,0.529,-0.529,2.30880030077318e-6,1.7818505170867e-4,0.529,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NUP37,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.1390566126863e-4,2.1330563804591e-4,0.539,-0.539,3.19469340486633e-6,2.1330563804591e-4,0.539,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
DDX1,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.1390566126863e-4,5.601746693039e-4,0.547,-0.547,1.38141823366982e-5,5.601746693039e-4,0.547,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TSPAN5,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,2.2295741551794e-4,0.940898882216986,0.562,-0.562,0.344996256812895,0.940898882216986,0.562,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
NDUFAF2,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.2323245487141e-4,3.9715082128927e-4,0.547,-0.547,8.4659652093183e-6,3.9715082128927e-4,0.547,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NOL10,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.3256522796981e-4,5.2844952623352e-4,0.545,-0.545,1.24524735864373e-5,5.2844952623352e-4,0.545,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
COPS5,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.3256522796981e-4,1.7818505170867e-4,0.512,-0.512,2.35338747539763e-6,1.7818505170867e-4,0.512,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
XPO5,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.4218374638892e-4,7.2117964934147e-4,0.541,-0.541,2.19982471654474e-5,7.2117964934147e-4,0.541,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MRPL3,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.5213354776942e-4,6.3901051947931e-4,0.542,-0.542,1.80382018110046e-5,6.3901051947931e-4,0.542,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EIF5A,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.6497326649015e-4,1.9852543979402e-4,0.509,-0.509,2.80932226123625e-6,1.9852543979402e-4,0.509,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PHB2,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.6497326649015e-4,1.916598355664e-4,0.485,-0.485,2.65189709588731e-6,1.916598355664e-4,0.485,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ECHDC3,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.6497326649015e-4,2.0624539283876e-4,0.514,-0.514,2.98342392156704e-6,2.0624539283876e-4,0.514,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
GFUS,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.7275035952679e-4,2.1419459720622e-4,0.517,-0.517,3.30048278713991e-6,2.1419459720622e-4,0.517,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ASB13,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.7275035952679e-4,8.2191403093543e-4,0.536,-0.536,2.76555978962553e-5,8.2191403093543e-4,0.536,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CLNS1A,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.7275035952679e-4,8.0601572533392e-4,0.537,-0.537,2.6867190844464e-5,8.0601572533392e-4,0.537,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MRPS28,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.75077744654e-4,2.1330563804591e-4,0.511,-0.511,3.2197077440892e-6,2.1330563804591e-4,0.511,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADGRL2,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,2.803440135908e-4,0.99999999974885,0.562,-0.562,0.375284560126594,0.99999999974885,0.562,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
EIF3H,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.9513276073135e-4,5.256884453485e-4,0.537,-0.537,1.20676907265538e-5,5.256884453485e-4,0.537,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MAPKAP1,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.9513276073135e-4,0.00121807144115843,0.529,-0.529,4.94123320469928e-5,0.00121807144115843,0.529,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MRPS15,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,2.9513276073135e-4,0.0042119385354197,0.541,-0.541,2.8476942928152e-4,0.0042119385354197,0.541,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
MZT2B,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,2.9631337957338e-4,0.00427244095542427,0.542,-0.542,2.9437339667789e-4,0.00427244095542427,0.542,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
NDUFS8,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,3.1158217563415e-4,0.00704149430390031,0.579,-0.579,6.0671994945556e-4,0.00704149430390031,0.579,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
ATG5,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,3.1158217563415e-4,0.00213418264734651,0.517,-0.517,1.1140701869796e-4,0.00213418264734651,0.517,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
BANF1,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,3.160077629413e-4,0.0241955335813003,0.666,-0.666,0.00329454906940346,0.0241955335813003,0.666,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
SRSF9,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,3.160077629413e-4,8.0134688097819e-4,0.533,-0.533,2.62075709502303e-5,8.0134688097819e-4,0.533,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NDUFV2,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,3.1797458691036e-4,2.3898120453964e-4,0.49,-0.49,3.75756610911387e-6,2.3898120453964e-4,0.49,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PYCR1,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,3.3116915200518e-4,2.4269205030304e-4,0.491,-0.491,3.96854925023853e-6,2.4269205030304e-4,0.491,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
GIPC1,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,3.3904993102142e-4,2.4353791467447e-4,0.473,-0.473,4.08241691390389e-6,2.4353791467447e-4,0.473,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
BRMS1,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,3.5595157458346e-4,0.00443260352899508,0.532,-0.532,3.1223370770279e-4,0.00443260352899508,0.532,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
